tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets,neg,neu,pos,compound,neg,neu,pos,compound,neg,neu,pos,compound,neg,neu,pos,compound,neg,neu,pos,compound
RT @tcpazs: choni rain kiss 🌧,False,en,0,1,2021-02-27 04:01:47,1365512426402107395,"['choni', 'rain', 'kiss']",choni rain kiss,0.0,0.588,0.412,0.4215,0.0,0.588,0.412,0.4215,0.0,0.588,0.412,0.4215,0.0,0.588,0.412,0.4215,0.0,0.588,0.412,0.4215
Cheryl and Minerva endgame!!! — Choni endgame sorry  https://t.co/GaVP8OSZ02,False,en,1,0,2021-02-27 03:58:35,1365511622513618944,"['cheryl', 'minerva', 'endgame', 'choni', 'endgame', 'sorry']",cheryl minerva endgame choni endgame sorry,0.237,0.763,0.0,-0.2905,0.237,0.763,0.0,-0.2905,0.237,0.763,0.0,-0.2905,0.237,0.763,0.0,-0.2905,0.237,0.763,0.0,-0.2905
RT @topazgotjuice: i don’t even know who this is but it is very beautiful... choni when? https://t.co/0NcnXAR6n4,False,en,0,17,2021-02-27 03:57:21,1365511314462953475,"['even', 'know', 'beautiful', 'choni']",even know beautiful choni,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
RT @chonistyles: ANYWAYS MADELAINE AND VANESSA ARE THE CAPTAINS OF THE CHONI SHIP AND WOULD FIGHT FOR THEM https://t.co/JRE3TdRo3T,False,en,0,25,2021-02-27 03:57:14,1365511281579589634,"['anyways', 'madelaine', 'vanessa', 'captains', 'choni', 'ship', 'would', 'fight']",anyways madelaine vanessa captains choni ship would fight,0.156,0.844,0.0,-0.516,0.156,0.844,0.0,-0.516,0.156,0.844,0.0,-0.516,0.156,0.844,0.0,-0.516,0.156,0.844,0.0,-0.516
choni rain kiss 🌧,False,en,14,1,2021-02-27 03:56:24,1365511073936248837,"['choni', 'rain', 'kiss']",choni rain kiss,0.0,0.417,0.583,0.4215,0.0,0.417,0.583,0.4215,0.0,0.417,0.583,0.4215,0.0,0.417,0.583,0.4215,0.0,0.417,0.583,0.4215
"RT @jnkcottriII: ""i'm pretty.. somewhat, i'm famous.. as fuck"" -billie eilish
BITCH YOU'RE THE PRETTIEST HUMAN EVER 😭😭😭",False,en,0,178,2021-02-27 03:17:18,1365501234908721154,"['pretty', 'somewhat', 'famous', 'fuck', 'billie', 'eilish', 'bitch', 'prettiest', 'human', 'ever']",pretty somewhat famous fuck billie eilish bitch prettiest human ever,0.292,0.546,0.161,-0.5574,0.292,0.546,0.161,-0.5574,0.292,0.546,0.161,-0.5574,0.292,0.546,0.161,-0.5574,0.292,0.546,0.161,-0.5574
RT @larrayxo: billie eilish deserves the world,False,en,0,3100,2021-02-27 03:16:42,1365501082370203650,"['billie', 'eilish', 'deserves', 'world']",billie eilish deserves world,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
@RiverdaleEPS @madelainepetsch @VanessaMorgan AAHHHHHH CHONI FOREVERRRRR,False,en,0,0,2021-02-27 03:16:32,1365501041085734926,"['aahhhhhh', 'choni', 'foreverrrrr']",aahhhhhh choni foreverrrrr,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Has the choni rain kiss been approved 🤔,False,en,0,0,2021-02-27 03:10:48,1365499596768759811,"['choni', 'rain', 'kiss', 'approved']",choni rain kiss approved,0.0,0.472,0.528,0.6808,0.0,0.472,0.528,0.6808,0.0,0.472,0.528,0.6808,0.0,0.472,0.528,0.6808,0.0,0.472,0.528,0.6808
RT @Haught_Toddy: what if nicole did body swap with champ and waverly is trying to resist this version of her fiancé bc she knows it’s not…,False,en,0,9,2021-02-27 03:04:41,1365498060386754562,"['nicole', 'body', 'swap', 'champ', 'waverly', 'trying', 'resist', 'version', 'fianc', 'bc', 'knows']",nicole body swap champ waverly trying resist version fianc bc knows,0.0,0.89,0.11,0.4767,0.0,0.89,0.11,0.4767,0.0,0.89,0.11,0.4767,0.0,0.89,0.11,0.4767,0.0,0.89,0.11,0.4767
RT @dovesonlyfans: OH HELL NAHHH BABYYYYY THIS AINT FINNA WORK,True,en,0,1,2021-02-27 03:04:27,1365497998122303491,"['oh', 'hell', 'nahhh', 'babyyyyy', 'aint', 'finna', 'work']",oh hell nahhh babyyyyy aint finna work,0.372,0.628,0.0,-0.7456,0.372,0.628,0.0,-0.7456,0.372,0.628,0.0,-0.7456,0.372,0.628,0.0,-0.7456,0.372,0.628,0.0,-0.7456
RT @earptheorist: Me if a network doesn’t pick Wynonna Earp up for a 5th season! #WynonnaEarp #BringWynonnaHome https://t.co/S79eR4XueM,False,en,0,10,2021-02-27 02:52:59,1365495113145856001,"['network', 'pick', 'wynonna', 'earp', '5th', 'season', 'wynonnaearp', 'bringwynonnahome']",network pick wynonna earp 5th season wynonnaearp bringwynonnahome,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"RT @whyislukemylife: when at the key party archie pulls veronica's key which parallels when the bottle landed on v in the pilot, but in the…",False,en,0,36,2021-02-27 02:52:31,1365494997882183682,"['key', 'party', 'archie', 'pulls', 'veronica', 'key', 'parallels', 'bottle', 'landed', 'v', 'pilot']",key party archie pulls veronica key parallels bottle landed v pilot,0.0,0.926,0.074,0.2144,0.0,0.926,0.074,0.2144,0.0,0.926,0.074,0.2144,0.0,0.926,0.074,0.2144,0.0,0.926,0.074,0.2144
"RT @sweetchonis: IF there HAS to be a key party, one somehow organised by Cheryl (an almost parallel to her “in the mood for chaos” Thornhi…",False,en,0,2,2021-02-27 02:51:55,1365494844605538306,"['key', 'party', 'one', 'somehow', 'organised', 'cheryl', 'almost', 'parallel', 'mood', 'chaos', 'thornhi']",key party one somehow organised cheryl almost parallel mood chaos thornhi,0.0,0.899,0.101,0.4019,0.0,0.899,0.101,0.4019,0.0,0.899,0.101,0.4019,0.0,0.899,0.101,0.4019,0.0,0.899,0.101,0.4019
"Here's to Ronnie, and Archie, and Betty, and Jughead, and Choni, and Reggie AND MEEEEEEEEEEEEEEEE",False,en,33,0,2021-02-27 02:43:05,1365492621825687554,"['ronnie', 'archie', 'betty', 'jughead', 'choni', 'reggie', 'meeeeeeeeeeeeeeee']",ronnie archie betty jughead choni reggie meeeeeeeeeeeeeeee,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"barchie, choni, and tabitha/jughead are kinda sexy",False,en,0,0,2021-02-27 02:40:57,1365492086976491522,"['barchie', 'choni', 'tabitha', 'jughead', 'kinda', 'sexy']",barchie choni tabitha jughead kinda sexy,0.0,0.659,0.341,0.4779,0.0,0.659,0.341,0.4779,0.0,0.659,0.341,0.4779,0.0,0.659,0.341,0.4779,0.0,0.659,0.341,0.4779
"When people say that Toni deserves better than Cheryl don’t understand Cheryl
They’re perfect for each other",False,en,1,0,2021-02-27 02:40:04,1365491862577029130,"['people', 'say', 'toni', 'deserves', 'better', 'cheryl', 'understand', 'cheryl', 'perfect']",people say toni deserves better cheryl understand cheryl perfect,0.0,0.694,0.306,0.765,0.0,0.694,0.306,0.765,0.0,0.694,0.306,0.765,0.0,0.694,0.306,0.765,0.0,0.694,0.306,0.765
RT @sweetchonis: Cheryl (Madelaine Petsch) sets a risky plan in motion after learning some surprising news about Toni (Vanessa Morgan). htt…,False,en,0,3,2021-02-27 02:23:41,1365487742298316811,"['cheryl', 'madelaine', 'petsch', 'sets', 'risky', 'plan', 'motion', 'learning', 'surprising', 'news', 'toni', 'vanessa', 'morgan', 'htt']",cheryl madelaine petsch sets risky plan motion learning surprising news toni vanessa morgan htt,0.082,0.822,0.096,0.0772,0.082,0.822,0.096,0.0772,0.082,0.822,0.096,0.0772,0.082,0.822,0.096,0.0772,0.082,0.822,0.096,0.0772
RT @saintopacio: vote choni and tabitharonnie BUT choni is the main priority,True,en,0,1,2021-02-27 02:17:52,1365486275004891140,"['vote', 'choni', 'tabitharonnie', 'choni', 'main', 'priority']",vote choni tabitharonnie choni main priority,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
RT @choniwillows: choni - money machine https://t.co/h4OHza0rPg,False,en,0,8,2021-02-27 02:17:18,1365486134898216960,"['choni', 'money', 'machine']",choni money machine,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"RT @chonirubies: choni love confession like this when
 https://t.co/bhIFW60RPe",False,en,0,15,2021-02-27 02:14:47,1365485501499645954,"['choni', 'love', 'confession', 'like']",choni love confession like,0.0,0.511,0.489,0.7717,0.0,0.511,0.489,0.7717,0.0,0.511,0.489,0.7717,0.0,0.511,0.489,0.7717,0.0,0.511,0.489,0.7717
RT @sydthekid41319: This is about the finale of goodwitch and I’m intrigued?,True,en,0,1,2021-02-27 02:14:30,1365485431064846338,"['finale', 'goodwitch', 'intrigued']",finale goodwitch intrigued,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
@robynchoni Especially when they’re starting to give extended breaks between episodes and seasons,False,en,0,0,2021-02-27 02:12:09,1365484839810514945,"['especially', 'starting', 'give', 'extended', 'breaks', 'episodes', 'seasons']",especially starting give extended breaks episodes seasons,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
@BlossomFenix It stems from the fact that Vanessa went on maternity leave after 508 so people think that’s the reason she’s gonna disappear,False,en,0,0,2021-02-27 02:11:36,1365484700714860553,"['stems', 'fact', 'vanessa', 'went', 'maternity', 'leave', '508', 'people', 'think', 'reason', 'gonna', 'disappear']",stems fact vanessa went maternity leave 508 people think reason gonna disappear,0.129,0.871,0.0,-0.2732,0.129,0.871,0.0,-0.2732,0.129,0.871,0.0,-0.2732,0.129,0.871,0.0,-0.2732,0.129,0.871,0.0,-0.2732
RT @BlossomFenix: @sweetchonis New choni bed scene manifesting,False,en,0,1,2021-02-27 02:10:47,1365484494355070976,"['new', 'choni', 'bed', 'scene', 'manifesting']",new choni bed scene manifesting,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
RT @sweetchonis: they wouldn’t put all that work into a set not to utilise it 👀,False,en,0,1,2021-02-27 02:10:44,1365484482975969282,"['put', 'work', 'set', 'utilise']",put work set utilise,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
RT @topazgotjuice: i’m nervous about cheryl’s plan 😅 when do plans ever go smoothly in dramas?? someone gonna get hurt,False,en,0,3,2021-02-27 02:10:37,1365484452693086209,"['nervous', 'cheryl', 'plan', 'plans', 'ever', 'go', 'smoothly', 'dramas', 'someone', 'gonna', 'get', 'hurt']",nervous cheryl plan plans ever go smoothly dramas someone gonna get hurt,0.256,0.744,0.0,-0.7059,0.256,0.744,0.0,-0.7059,0.256,0.744,0.0,-0.7059,0.256,0.744,0.0,-0.7059,0.256,0.744,0.0,-0.7059
RT @ruephoriia: OKAY so what if cheryl finds out about the surrogacy before everyone else and then organizes this celebration for toni and…,False,en,0,4,2021-02-27 02:10:08,1365484328852086785,"['okay', 'cheryl', 'finds', 'surrogacy', 'everyone', 'else', 'organizes', 'celebration', 'toni']",okay cheryl finds surrogacy everyone else organizes celebration toni,0.0,0.893,0.107,0.3885,0.0,0.893,0.107,0.3885,0.0,0.893,0.107,0.3885,0.0,0.893,0.107,0.3885,0.0,0.893,0.107,0.3885
i want choni stans to follow me hello?!?!? #tonidale #chonidale where y’all at,False,en,1,0,2021-02-27 02:09:37,1365484201680723968,"['want', 'choni', 'stans', 'follow', 'hello', 'tonidale', 'chonidale']",want choni stans follow hello tonidale chonidale,0.0,0.819,0.181,0.3451,0.0,0.819,0.181,0.3451,0.0,0.819,0.181,0.3451,0.0,0.819,0.181,0.3451,0.0,0.819,0.181,0.3451
"RT @sapphicvanessa: WAIT what if mads didn’t mean WHO she’s kissing, rather WHY she’s kissing someone. 5x08 is supposedly a key party so ma…",False,en,0,5,2021-02-27 02:09:23,1365484140443926533,"['wait', 'mads', 'mean', 'kissing', 'rather', 'kissing', 'someone', '5x08', 'supposedly', 'key', 'party']",wait mads mean kissing rather kissing someone 5x08 supposedly key party,0.0,0.664,0.336,0.8779,0.0,0.664,0.336,0.8779,0.0,0.664,0.336,0.8779,0.0,0.664,0.336,0.8779,0.0,0.664,0.336,0.8779
@tonidaIe @choni_wayhaught why 5x8 :ooo,False,en,0,0,2021-02-27 02:08:55,1365484023749951488,"['5x8', 'ooo']",5x8 ooo,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
vote choni and tabitharonnie BUT choni is the main priority https://t.co/ClgLbCZuDI,True,en,1,1,2021-02-27 02:08:48,1365483994234593280,"['vote', 'choni', 'tabitharonnie', 'choni', 'main', 'priority']",vote choni tabitharonnie choni main priority,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
barchie and choni besties https://t.co/OFCZbPtOss,True,en,10,3,2021-02-27 02:02:02,1365482293515620354,"['barchie', 'choni', 'besties']",barchie choni besties,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
WAIT if this is 507 RAIN-KISS 508 REUNION makeup I’m here for it https://t.co/tADLRrUs90,True,en,1,0,2021-02-27 02:02:00,1365482284497960962,"['wait', '507', 'rain', 'kiss', '508', 'reunion', 'makeup']",wait 507 rain kiss 508 reunion makeup,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
RT @wynskellen: I might get canceled for this but... stetson with hair down is superior to the French braid #WynonnaEarp #BringWynonnaHome…,False,en,0,98,2021-02-27 02:00:48,1365481982575190019,"['might', 'get', 'canceled', 'stetson', 'hair', 'superior', 'french', 'braid', 'wynonnaearp', 'bringwynonnahome']",might get canceled stetson hair superior french braid wynonnaearp bringwynonnahome,0.0,0.844,0.156,0.5423,0.0,0.844,0.156,0.5423,0.0,0.844,0.156,0.5423,0.0,0.844,0.156,0.5423,0.0,0.844,0.156,0.5423
RT @chxrylpetsch: please don’t be in love with someone else https://t.co/BQIRUj7QbD,False,en,0,70,2021-02-27 02:00:19,1365481861389176832,"['please', 'love', 'someone', 'else']",please love someone else,0.0,0.581,0.419,0.7579,0.0,0.581,0.419,0.7579,0.0,0.581,0.419,0.7579,0.0,0.581,0.419,0.7579,0.0,0.581,0.419,0.7579
@chonicarrington Pplzzzzzzz,False,en,1,0,2021-02-27 01:59:36,1365481681021468674,['pplzzzzzzz'],pplzzzzzzz,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
RT @chonicarrington: anyway choni sex scene in here when https://t.co/1Ceyeg9WsX,False,en,0,8,2021-02-27 01:59:15,1365481590227423237,"['anyway', 'choni', 'sex', 'scene']",anyway choni sex scene,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
RT @chonistyles: WHAT DOES THIS MEAN????? https://t.co/SQfCxy2exD,False,en,0,21,2021-02-27 01:58:49,1365481482400260097,['mean'],mean,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
vote choni if you don’t hate lesbians https://t.co/NIYiqhG0Mb,True,en,7,0,2021-02-27 01:58:42,1365481452255723521,"['vote', 'choni', 'hate', 'lesbians']",vote choni hate lesbians,0.346,0.654,0.0,-0.5719,0.346,0.654,0.0,-0.5719,0.346,0.654,0.0,-0.5719,0.346,0.654,0.0,-0.5719,0.346,0.654,0.0,-0.5719
RT @earperpuff18: i know everyone’s saying body swap but i’m thinking a horny spell a la midsummer nights dream love spell 👀 https://t.co/a…,False,en,0,32,2021-02-27 01:58:37,1365481430055325697,"['know', 'everyone', 'saying', 'body', 'swap', 'thinking', 'horny', 'spell', 'la', 'midsummer', 'nights', 'dream', 'love', 'spell']",know everyone saying body swap thinking horny spell la midsummer nights dream love spell,0.0,0.672,0.328,0.8519,0.0,0.672,0.328,0.8519,0.0,0.672,0.328,0.8519,0.0,0.672,0.328,0.8519,0.0,0.672,0.328,0.8519
RT @ChoniSnixx: It’s just the way Toni Topaz is the best character and nobody else even compares 😇 https://t.co/kVUefoPpkg,False,en,0,13,2021-02-27 01:58:00,1365481277055524866,"['way', 'toni', 'topaz', 'best', 'character', 'nobody', 'else', 'even', 'compares']",way toni topaz best character nobody else even compares,0.0,0.802,0.198,0.6369,0.0,0.802,0.198,0.6369,0.0,0.802,0.198,0.6369,0.0,0.802,0.198,0.6369,0.0,0.802,0.198,0.6369
RT @chonistyles: WAIT 5x08 IS THE EPISODE WE FIND OUT WHO THE FATHER IS TO TONI'S BABY https://t.co/rBROQRmlkm,False,en,0,23,2021-02-27 01:57:49,1365481229563363332,"['wait', '5x08', 'episode', 'find', 'father', 'toni', 'baby']",wait 5x08 episode find father toni baby,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"RT @choniswitches2: . @VanessaMorgan @madelainepetsch my african queens we don’t ask for much, but if you do this covid will stop immediate…",True,en,0,14,2021-02-27 01:57:38,1365481185883934728,"['african', 'queens', 'ask', 'much', 'covid', 'stop', 'immediate']",african queens ask much covid stop immediate,0.123,0.877,0.0,-0.4215,0.123,0.877,0.0,-0.4215,0.123,0.877,0.0,-0.4215,0.123,0.877,0.0,-0.4215,0.123,0.877,0.0,-0.4215
vote choni and choni only 🙄 https://t.co/PRI9pfOwn9,True,en,7,0,2021-02-27 01:57:34,1365481167005372418,"['vote', 'choni', 'choni']",vote choni choni,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
RT @haughtfroggs: no because wayhaught has the time to make 3 proposals but never got time to talk and actually communicate 😭😭,False,en,0,7,2021-02-27 01:57:26,1365481134105260034,"['wayhaught', 'time', 'make', '3', 'proposals', 'never', 'got', 'time', 'talk', 'actually', 'communicate']",wayhaught time make 3 proposals never got time talk actually communicate,0.074,0.926,0.0,-0.1531,0.074,0.926,0.0,-0.1531,0.074,0.926,0.0,-0.1531,0.074,0.926,0.0,-0.1531,0.074,0.926,0.0,-0.1531
"RT @TheNigelTopaz: “I’m a mess Toni I’m not the same person from high school-“
“No Cheryl you’re not, none of us are-“
“I-“
“I did it for y…",False,en,0,2,2021-02-27 01:57:19,1365481104417951751,"['mess', 'toni', 'person', 'high', 'school', 'cheryl', 'none', 'us']",mess toni person high school cheryl none us,0.088,0.912,0.0,-0.3612,0.088,0.912,0.0,-0.3612,0.088,0.912,0.0,-0.3612,0.088,0.912,0.0,-0.3612,0.088,0.912,0.0,-0.3612
@choni_wayhaught wait what?,False,en,0,0,2021-02-27 01:57:15,1365481089138110466,['wait'],wait,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
RT @chonicarrington: no but cheryl being with someone else is gonna make toni think she made up the whole curse thing because she just fell…,False,en,0,17,2021-02-27 01:56:57,1365481011933511680,"['cheryl', 'someone', 'else', 'gonna', 'make', 'toni', 'think', 'made', 'whole', 'curse', 'thing', 'fell']",cheryl someone else gonna make toni think made whole curse thing fell,0.216,0.784,0.0,-0.7469,0.216,0.784,0.0,-0.7469,0.216,0.784,0.0,-0.7469,0.216,0.784,0.0,-0.7469,0.216,0.784,0.0,-0.7469
can’t wait to see choni win 🤩 https://t.co/151UtaV0A7,True,en,3,0,2021-02-27 01:56:44,1365480956711161856,"['wait', 'see', 'choni', 'win']",wait see choni win,0.0,0.612,0.388,0.5859,0.0,0.612,0.388,0.5859,0.0,0.612,0.388,0.5859,0.0,0.612,0.388,0.5859,0.0,0.612,0.388,0.5859
"RT @milfyswift: wow so cheryls in her pushed from the precipice clung to the nearest lips long story short, it was the wrong girl era",False,en,0,7,2021-02-27 01:56:29,1365480894828580865,"['wow', 'cheryls', 'pushed', 'precipice', 'clung', 'nearest', 'lips', 'long', 'story', 'short', 'wrong', 'girl', 'era']",wow cheryls pushed precipice clung nearest lips long story short wrong girl era,0.104,0.769,0.127,0.1779,0.104,0.769,0.127,0.1779,0.104,0.769,0.127,0.1779,0.104,0.769,0.127,0.1779,0.104,0.769,0.127,0.1779
@tonidaIe Someone said how Madeline stated she only stood and that it’s not what we think and I can’t stop thinking bout that 😭,False,en,0,0,2021-02-27 01:56:19,1365480853409832960,"['someone', 'said', 'madeline', 'stated', 'stood', 'think', 'stop', 'thinking', 'bout']",someone said madeline stated stood think stop thinking bout,0.095,0.905,0.0,-0.296,0.095,0.905,0.0,-0.296,0.095,0.905,0.0,-0.296,0.095,0.905,0.0,-0.296,0.095,0.905,0.0,-0.296
@tonidaIe ✨manifesting✨,False,en,0,0,2021-02-27 01:55:32,1365480655686098952,['manifesting'],manifesting,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
