tweets,quote_status,language,favorite_count,retweet_count,time,id,sentiment,neg,neu,pos,compound,processed_text,cleaned_tweets,cleaned_neg,cleaned_neu,cleaned_pos,cleaned_compound,neg.1,neu.1,pos.1,compound.1,neg,neu,pos,compound
@beeslahey jeronica could live together cus of the fire 🤭🤭,False,en,0,0,2021-03-02 08:49:33,1366672009028059138,"Sentiment(polarity=0.13636363636363635, subjectivity=0.5)",0.211,0.789,0.0,-0.34,"['jeronica', 'could', 'live', 'together', 'cus', 'fire']",jeronica could live together cus fire,0.324,0.6759999999999999,0.0,-0.34,0.324,0.6759999999999999,0.0,-0.34,0.324,0.676,0.0,-0.34
i just had a dream about rvd’s key party or whatever that’s called and it seemed so real omg the two unexpected kisses were jeronica and choni i hope i manifested it lmao,False,en,0,0,2021-03-02 08:10:17,1366662128275447808,"Sentiment(polarity=0.225, subjectivity=0.825)",0.0,0.619,0.381,0.93,"['dream', 'rvd', 'key', 'party', 'whatever', 'called', 'seemed', 'real', 'omg', 'two', 'unexpected', 'kisses', 'jeronica', 'choni', 'hope', 'manifested', 'lmao']",dream rvd key party whatever called seemed real omg two unexpected kisses jeronica choni hope manifested lmao,0.0,0.448,0.552,0.93,0.0,0.44799999999999995,0.552,0.93,0.0,0.448,0.552,0.93
Not Zumpie shipping Jabitha………… who’s gonna tell her they’re what Jeronica would have been if given a chance lol,False,en,1,0,2021-03-02 02:52:15,1366582093166243846,"Sentiment(polarity=0.8, subjectivity=0.7)",0.0,0.769,0.231,0.5859,"['zumpie', 'shipping', 'jabitha', 'gonna', 'tell', 'jeronica', 'would', 'given', 'chance', 'lol']",zumpie shipping jabitha gonna tell jeronica would given chance lol,0.0,0.625,0.375,0.5859,0.0,0.625,0.375,0.5859,0.0,0.625,0.375,0.5859
@lilicamifan jeronica i think,False,en,1,0,2021-03-01 23:37:26,1366533065779085312,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,1.0,0.0,0.0,"['jeronica', 'think']",jeronica think,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
RT @claire39458517: Why are the riverdale writers so scary to let Jughead and Veronica interact?? The time jump + Barchie was the perfect t…,False,en,0,1,2021-03-01 18:31:51,1366456163043209216,"Sentiment(polarity=0.25, subjectivity=1.0)",0.153,0.72,0.127,-0.1965,"['riverdale', 'writers', 'scary', 'let', 'jughead', 'veronica', 'interact', 'time', 'jump', 'barchie', 'perfect']",riverdale writers scary let jughead veronica interact time jump barchie perfect,0.201,0.5660000000000001,0.233,0.128,0.201,0.5660000000000001,0.233,0.128,0.201,0.566,0.233,0.128
The world if Jeronica gets TWO one on one scenes this season https://t.co/uBYJX5df6p,False,en,29,7,2021-03-01 18:30:03,1366455712294064134,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,1.0,0.0,0.0,"['world', 'jeronica', 'gets', 'two', 'one', 'one', 'scenes', 'season']",world jeronica gets two one one scenes season,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
@sadfeelingshavr literally same like fp and hiram enemies to lovers when... if i can’t have jeronica i will have them,False,en,2,0,2021-03-01 17:30:18,1366440674103541760,"Sentiment(polarity=0.0, subjectivity=0.125)",0.133,0.622,0.245,0.4019,"['literally', 'like', 'fp', 'hiram', 'enemies', 'lovers', 'jeronica']",literally like fp hiram enemies lovers jeronica,0.244,0.305,0.45,0.4019,0.244,0.305,0.45,0.4019,0.244,0.305,0.45,0.4019
"@bjrchies beggie is a comic thing, they have even less interactions than jeronica wtf",False,en,1,0,2021-03-01 17:03:06,1366433828936507394,"Sentiment(polarity=-0.13888888888888887, subjectivity=0.5222222222222223)",0.241,0.759,0.0,-0.5859,"['beggie', 'comic', 'thing', 'even', 'less', 'interactions', 'jeronica', 'wtf']",beggie comic thing even less interactions jeronica wtf,0.336,0.664,0.0,-0.5478,0.336,0.664,0.0,-0.5478,0.336,0.664,0.0,-0.5478
jeronica both have hot dads this is how we can still win,False,en,1,0,2021-03-01 16:48:24,1366430127928856576,"Sentiment(polarity=0.525, subjectivity=0.625)",0.0,0.743,0.257,0.5859,"['jeronica', 'hot', 'dads', 'still', 'win']",jeronica hot dads still win,0.0,0.513,0.487,0.5859,0.0,0.513,0.48700000000000004,0.5859,0.0,0.513,0.487,0.5859
RT @bugverchoni: if u wrote in jeronica barchie or bughead into the gay ship awards why are u homophobic😭,False,en,0,1,2021-03-01 16:03:36,1366418854067376135,"Sentiment(polarity=0.4166666666666667, subjectivity=0.5833333333333334)",0.0,0.8420000000000001,0.158,0.4588,"['u', 'wrote', 'jeronica', 'barchie', 'bughead', 'gay', 'ship', 'awards', 'u', 'homophobic']",u wrote jeronica barchie bughead gay ship awards u homophobic,0.0,0.7,0.3,0.4588,0.0,0.7,0.3,0.4588,0.0,0.7,0.3,0.4588
so tempted to write a jeronica au where fbi agent jughead jones goes undercover to uproot a crime syndicate and falls in love with the crime boss daughter veronica lodge,False,en,1,0,2021-03-01 13:51:52,1366385703475552262,"Sentiment(polarity=0.5, subjectivity=0.6)",0.193,0.691,0.116,-0.4215,"['tempted', 'write', 'jeronica', 'au', 'fbi', 'agent', 'jughead', 'jones', 'goes', 'undercover', 'uproot', 'crime', 'syndicate', 'falls', 'love', 'crime', 'boss', 'daughter', 'veronica', 'lodge']",tempted write jeronica au fbi agent jughead jones goes undercover uproot crime syndicate falls love crime boss daughter veronica lodge,0.248,0.603,0.149,-0.4215,0.248,0.603,0.149,-0.4215,0.248,0.603,0.149,-0.4215
"@ifyoutrustme jeronica bonding over their love for archie is literally so true remember when jughead said ""if you keep this up you are gonna need a superhero name like Pureheart the Powerful"" and then ronnie remembered it and said ""you archie are Pureheart the Powerful"" HERES HOW WE CAN WIN",False,en,1,0,2021-03-01 13:24:22,1366378781678698497,"Sentiment(polarity=0.45, subjectivity=0.73)",0.0,0.6779999999999999,0.322,0.9659,"['jeronica', 'bonding', 'love', 'archie', 'literally', 'true', 'remember', 'jughead', 'said', 'keep', 'gonna', 'need', 'superhero', 'name', 'like', 'pureheart', 'powerful', 'ronnie', 'remembered', 'said', 'archie', 'pureheart', 'powerful', 'heres', 'win']",jeronica bonding love archie literally true remember jughead said keep gonna need superhero name like pureheart powerful ronnie remembered said archie pureheart powerful heres win,0.0,0.501,0.499,0.9578,0.0,0.501,0.499,0.9578,0.0,0.501,0.499,0.9578
"RT @BarrosEsquerdo: @rtalalay I really wanted something to happen between Jugh and Veronica in this episode! But the ""unexpected"" kiss will…",False,en,0,1,2021-03-01 02:56:32,1366220781844377600,"Sentiment(polarity=0.175, subjectivity=0.6)",0.0,0.86,0.14,0.4753,"['really', 'wanted', 'something', 'happen', 'jugh', 'veronica', 'episode', 'unexpected', 'kiss']",really wanted something happen jugh veronica episode unexpected kiss,0.0,0.741,0.259,0.4215,0.0,0.741,0.259,0.4215,0.0,0.741,0.259,0.4215
RT @victoria106__: @RiverdaleRefer1 Why is the Vughead/Jeronica fandom so funny doe 😭 that was literally me in season 3 💀 seriously tho I n…,False,en,0,1,2021-03-01 02:55:29,1366220519637417990,"Sentiment(polarity=-0.04166666666666666, subjectivity=0.8333333333333333)",0.073,0.768,0.16,0.4663,"['vughead', 'jeronica', 'fandom', 'funny', 'doe', 'literally', 'season', '3', 'seriously', 'tho', 'n']",vughead jeronica fandom funny doe literally season 3 seriously tho n,0.147,0.603,0.25,0.29600000000000004,0.147,0.603,0.25,0.29600000000000004,0.147,0.603,0.25,0.296
RT @victoria106__: @WriterRAS i’m gonna need some Jeronica/Vughead scenes tbh 😗,False,en,0,1,2021-03-01 02:55:26,1366220505410392067,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,1.0,0.0,0.0,"['gonna', 'need', 'jeronica', 'vughead', 'scenes', 'tbh']",gonna need jeronica vughead scenes tbh,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
RT @cherryplushies: @CW_Riverdale Good morning give me some more Jeronica crumbs :) https://t.co/LxKmIqH048,False,en,0,4,2021-03-01 02:01:00,1366206807635611650,"Sentiment(polarity=0.5666666666666667, subjectivity=0.7000000000000001)",0.0,0.6409999999999999,0.359,0.7322,"['good', 'morning', 'give', 'jeronica', 'crumbs']",good morning give jeronica crumbs,0.0,0.58,0.42,0.4404,0.0,0.58,0.42,0.4404,0.0,0.58,0.42,0.4404
"people be shipping jeronica- bye the only core 4 ships allowed are bughead, varchie, beronica and jarchie and thats final.",False,en,0,0,2021-03-01 01:56:52,1366205768291221511,"Sentiment(polarity=0.0, subjectivity=1.0)",0.0,1.0,0.0,0.0,"['people', 'shipping', 'jeronica', 'bye', 'core', '4', 'ships', 'allowed', 'bughead', 'varchie', 'beronica', 'jarchie', 'thats', 'final']",people shipping jeronica bye core 4 ships allowed bughead varchie beronica jarchie thats final,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
@RiverdaleRefer1 Why is the Vughead/Jeronica fandom so funny doe 😭 that was literally me in season 3 💀 seriously tho I need more scenes of them 🤡✌🏻,False,en,4,1,2021-03-01 01:45:57,1366203021785448453,"Sentiment(polarity=0.1388888888888889, subjectivity=0.7222222222222222)",0.064,0.794,0.141,0.4663,"['vughead', 'jeronica', 'fandom', 'funny', 'doe', 'literally', 'season', '3', 'seriously', 'tho', 'need', 'scenes']",vughead jeronica fandom funny doe literally season 3 seriously tho need scenes,0.125,0.662,0.213,0.29600000000000004,0.125,0.662,0.213,0.29600000000000004,0.125,0.662,0.213,0.296
@WriterRAS i’m gonna need some Jeronica/Vughead scenes tbh 😗,False,en,3,1,2021-03-01 01:43:15,1366202339678433283,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,1.0,0.0,0.0,"['gonna', 'need', 'jeronica', 'vughead', 'scenes', 'tbh']",gonna need jeronica vughead scenes tbh,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
RT @LaBella_Aria: Omg I never noticed her thumb caressing his 😍😍😍💕💕 #jeronica #Riverdale #vughead,True,en,0,1,2021-03-01 01:20:25,1366196595298099201,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,1.0,0.0,0.0,"['omg', 'never', 'noticed', 'thumb', 'caressing', 'jeronica', 'riverdale', 'vughead']",omg never noticed thumb caressing jeronica riverdale vughead,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
RT @RiverdaleRefer1: Everytime #jeronica https://t.co/BW7Lgjw84g,False,en,0,1,2021-03-01 01:19:21,1366196326770241537,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,1.0,0.0,0.0,"['everytime', 'jeronica']",everytime jeronica,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
@rtalalay Pls let it be Jeronica! It's not but a girl can wish! 😭,False,en,0,0,2021-03-01 01:18:05,1366196009043451910,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.654,0.34600000000000003,0.6467,"['pls', 'let', 'jeronica', 'girl', 'wish']",pls let jeronica girl wish,0.0,0.429,0.5710000000000001,0.4588,0.0,0.429,0.5710000000000001,0.4588,0.0,0.429,0.571,0.4588
RT @Shivranjaniii: #Jeronica needs a chance https://t.co/HfIfg3qkSZ,False,en,0,3,2021-03-01 01:12:39,1366194639162781697,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.7140000000000001,0.28600000000000003,0.25,"['jeronica', 'needs', 'chance']",jeronica needs chance,0.0,0.5,0.5,0.25,0.0,0.5,0.5,0.25,0.0,0.5,0.5,0.25
TIME #jeronica https://t.co/S0snYETNhE,False,en,7,0,2021-03-01 00:51:02,1366189201876791301,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,1.0,0.0,0.0,"['time', 'jeronica']",time jeronica,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
DAMN #jeronica https://t.co/UlOot7nPbe,False,en,5,0,2021-03-01 00:51:00,1366189191047086088,"Sentiment(polarity=0.0, subjectivity=0.0)",0.632,0.368,0.0,-0.5319,"['damn', 'jeronica']",damn jeronica,0.73,0.27,0.0,-0.4019,0.73,0.27,0.0,-0.4019,0.73,0.27,0.0,-0.4019
Everytime #jeronica https://t.co/BW7Lgjw84g,False,en,7,1,2021-03-01 00:50:55,1366189170125905922,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,1.0,0.0,0.0,"['everytime', 'jeronica']",everytime jeronica,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
They way he looks at her. #jeronica #riverdale https://t.co/kmrpIfhwvf,False,en,30,7,2021-03-01 00:50:52,1366189159627567115,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,1.0,0.0,0.0,"['way', 'looks', 'jeronica', 'riverdale']",way looks jeronica riverdale,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
RT @ShellyLahey: I was very bored so enjoy my lovely Jeronica’s!! https://t.co/tBrkpTT1vO,False,en,0,2,2021-03-01 00:18:01,1366180889189842947,"Sentiment(polarity=0.17708333333333334, subjectivity=0.75)",0.123,0.411,0.467,0.8272,"['bored', 'enjoy', 'lovely', 'jeronica']",bored enjoy lovely jeronica,0.208,0.099,0.693,0.7096,0.20800000000000002,0.099,0.693,0.7096,0.208,0.099,0.693,0.7096
if u wrote in jeronica barchie or bughead into the gay ship awards why are u homophobic😭,False,en,30,1,2021-02-28 23:53:33,1366174732890959872,"Sentiment(polarity=0.4166666666666667, subjectivity=0.5833333333333334)",0.0,0.8240000000000001,0.17600000000000002,0.4588,"['u', 'wrote', 'jeronica', 'barchie', 'bughead', 'gay', 'ship', 'awards', 'u', 'homophobic']",u wrote jeronica barchie bughead gay ship awards u homophobic,0.0,0.7,0.3,0.4588,0.0,0.7,0.3,0.4588,0.0,0.7,0.3,0.4588
"@rtalalay I really wanted something to happen between Jugh and Veronica in this episode! But the ""unexpected"" kiss will probably not be theirs. It is difficult to like Jeronica, when we know that they both have a lot of chemistry and the writers waste it. But we cannot have expectations https://t.co/xrZG6noSqu",False,en,11,1,2021-02-28 23:30:43,1366168988573708291,"Sentiment(polarity=-0.08750000000000001, subjectivity=0.55)",0.095,0.809,0.095,0.0,"['really', 'wanted', 'something', 'happen', 'jugh', 'veronica', 'episode', 'unexpected', 'kiss', 'probably', 'difficult', 'like', 'jeronica', 'know', 'lot', 'chemistry', 'writers', 'waste', 'cannot', 'expectations']",really wanted something happen jugh veronica episode unexpected kiss probably difficult like jeronica know lot chemistry writers waste cannot expectations,0.199,0.602,0.199,0.0,0.19899999999999998,0.602,0.19899999999999998,0.0,0.199,0.602,0.199,0.0
"@rtalalay Jeronica should happen, the fandom needs this @rtalalay @WriterRAS !!!!",False,en,2,0,2021-02-28 23:12:19,1366164358477283329,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,1.0,0.0,0.0,"['jeronica', 'happen', 'fandom', 'needs']",jeronica happen fandom needs,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
I was very bored so enjoy my lovely Jeronica’s!! https://t.co/tBrkpTT1vO,False,en,28,2,2021-02-28 22:10:19,1366148754517020673,"Sentiment(polarity=0.17708333333333334, subjectivity=0.75)",0.13699999999999998,0.343,0.52,0.8272,"['bored', 'enjoy', 'lovely', 'jeronica']",bored enjoy lovely jeronica,0.208,0.099,0.693,0.7096,0.20800000000000002,0.099,0.693,0.7096,0.208,0.099,0.693,0.7096
omggg please be a Jeronica!! 😳 #jeronica #vughead https://t.co/fp1GZBORDU https://t.co/2vsFZa5LEk,True,en,7,0,2021-02-28 21:34:26,1366139723702534145,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.708,0.292,0.4374,"['omggg', 'please', 'jeronica', 'jeronica', 'vughead']",omggg please jeronica jeronica vughead,0.0,0.635,0.365,0.3182,0.0,0.635,0.365,0.3182,0.0,0.635,0.365,0.3182
@rtalalay please be Jeronica omgggg!!!,False,en,3,0,2021-02-28 21:30:10,1366138651537727492,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.557,0.443,0.4898,"['please', 'jeronica', 'omgggg']",please jeronica omgggg,0.0,0.465,0.535,0.3182,0.0,0.465,0.535,0.3182,0.0,0.465,0.535,0.3182
Please let one of those kisses be #jeronica #Riverdale #vughead https://t.co/s5xmLvY5bM,True,en,7,0,2021-02-28 21:19:28,1366135956382781440,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.616,0.384,0.6808,"['please', 'let', 'one', 'kisses', 'jeronica', 'riverdale', 'vughead']",please let one kisses jeronica riverdale vughead,0.0,0.472,0.528,0.6808,0.0,0.47200000000000003,0.528,0.6808,0.0,0.472,0.528,0.6808
even jeronica kissing isnt that bad. I just hate barchie,False,en,1,0,2021-02-28 20:23:01,1366121753013932037,"Sentiment(polarity=-0.75, subjectivity=0.7833333333333333)",0.228,0.369,0.403,0.431,"['even', 'jeronica', 'kissing', 'isnt', 'bad', 'hate', 'barchie']",even jeronica kissing isnt bad hate barchie,0.0,0.295,0.705,0.8607,0.0,0.295,0.705,0.8607,0.0,0.295,0.705,0.8607
WAIT WAIT- WHAT IF JERONICA??? https://t.co/ivNs8Dgkx3,True,en,9,0,2021-02-28 20:13:46,1366119423388639232,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,1.0,0.0,0.0,"['wait', 'wait', 'jeronica']",wait wait jeronica,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
@milfyswift cole and camila apart of the jeronica friendship community confirmed! i rlly think the writers are wasting their potential by never having them interact. they could be so fun to watch and also have sweeter moments where they bond over their parents and how they shaped their lives,False,en,6,0,2021-02-28 18:49:19,1366098170942533634,"Sentiment(polarity=0.26666666666666666, subjectivity=0.7333333333333334)",0.049,0.816,0.135,0.6940000000000001,"['cole', 'camila', 'apart', 'jeronica', 'friendship', 'community', 'confirmed', 'rlly', 'think', 'writers', 'wasting', 'potential', 'never', 'interact', 'could', 'fun', 'watch', 'also', 'sweeter', 'moments', 'bond', 'parents', 'shaped', 'lives']",cole camila apart jeronica friendship community confirmed rlly think writers wasting potential never interact could fun watch also sweeter moments bond parents shaped lives,0.184,0.7170000000000001,0.099,-0.3616,0.184,0.7170000000000001,0.099,-0.3616,0.184,0.717,0.099,-0.3616
here's how there's still time for jeronica to be friends instead of acquaintances after five seasons i will try to be brief,False,en,8,0,2021-02-28 18:33:37,1366094218461138948,"Sentiment(polarity=0.0, subjectivity=0.3333333333333333)",0.0,0.866,0.134,0.4767,"['still', 'time', 'jeronica', 'friends', 'instead', 'acquaintances', 'five', 'seasons', 'try', 'brief']",still time jeronica friends instead acquaintances five seasons try brief,0.0,0.7440000000000001,0.256,0.4767,0.0,0.7440000000000001,0.256,0.4767,0.0,0.744,0.256,0.4767
its funny that jeronicas exist and i know they exist but i have never encountered one please follow me im not a jeronica but i love them immensely and love to talk abt the implications of time skip jughead and veronica at all times,False,en,10,0,2021-02-28 18:32:08,1366093845268676609,"Sentiment(polarity=0.3125, subjectivity=0.8)",0.233,0.727,0.039,-0.8909,"['funny', 'jeronicas', 'exist', 'know', 'exist', 'never', 'encountered', 'one', 'please', 'follow', 'im', 'jeronica', 'love', 'immensely', 'love', 'talk', 'abt', 'implications', 'time', 'skip', 'jughead', 'veronica', 'times']",funny jeronicas exist know exist never encountered one please follow im jeronica love immensely love talk abt implications time skip jughead veronica times,0.061,0.589,0.35,0.8844,0.061,0.589,0.35,0.8844,0.061,0.589,0.35,0.8844
jeronica X deep end https://t.co/tEyP6rIVsa,False,en,0,0,2021-02-28 18:25:06,1366092077805764615,"Sentiment(polarity=0.0, subjectivity=0.4)",0.0,1.0,0.0,0.0,"['jeronica', 'x', 'deep', 'end']",jeronica x deep end,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
jeronica X fire on fire https://t.co/PUM6JAhRaw,False,en,0,0,2021-02-28 18:25:06,1366092075821903874,"Sentiment(polarity=0.0, subjectivity=0.0)",0.615,0.385,0.0,-0.5859,"['jeronica', 'x', 'fire', 'fire']",jeronica x fire fire,0.828,0.172,0.0,-0.5859,0.828,0.172,0.0,-0.5859,0.828,0.172,0.0,-0.5859
RT @ifyoutrustme: jugtabitharonnie trio where veronica and tabitha connect over their struggle in trying to decide if they’re pops girls or…,False,en,0,1,2021-02-28 18:01:46,1366086202659602433,"Sentiment(polarity=0.0, subjectivity=0.0)",0.103,0.897,0.0,-0.3182,"['jugtabitharonnie', 'trio', 'veronica', 'tabitha', 'connect', 'struggle', 'trying', 'decide', 'pops', 'girls']",jugtabitharonnie trio veronica tabitha connect struggle trying decide pops girls,0.204,0.7959999999999999,0.0,-0.3182,0.204,0.7959999999999999,0.0,-0.3182,0.204,0.796,0.0,-0.3182
"RT @BarrosEsquerdo: @victoria106__ @imaginebarchie I hope he said a truth in a good sense, for the fandom Jeronica https://t.co/8YhuVpNCGO",False,en,0,1,2021-02-28 17:51:48,1366083697108279301,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)",0.0,0.616,0.384,0.7964,"['hope', 'said', 'truth', 'good', 'sense', 'fandom', 'jeronica']",hope said truth good sense fandom jeronica,0.0,0.331,0.669,0.7964,0.0,0.331,0.669,0.7964,0.0,0.331,0.669,0.7964
RT @ifyoutrustme: the bechdel test but it’s jeronica having a conversation that isn’t about betty or archie,False,en,0,1,2021-02-28 17:29:55,1366078190003707907,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,1.0,0.0,0.0,"['bechdel', 'test', 'jeronica', 'conversation', 'betty', 'archie']",bechdel test jeronica conversation betty archie,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
@CW_Riverdale Good morning give me some more Jeronica crumbs :) https://t.co/LxKmIqH048,False,en,20,4,2021-02-28 17:02:11,1366071209474031624,"Sentiment(polarity=0.5666666666666667, subjectivity=0.7000000000000001)",0.0,0.594,0.406,0.7322,"['good', 'morning', 'give', 'jeronica', 'crumbs']",good morning give jeronica crumbs,0.0,0.58,0.42,0.4404,0.0,0.58,0.42,0.4404,0.0,0.58,0.42,0.4404
