tweets,quote_status,language,favorite_count,retweet_count,time,id,rating,processed_text,cleaned_tweets,neg,neu,pos
@CW_Riverdale  #Bughead are so good man ! @lilireinhart  &amp; @colesprouse  chemistry is excellent and natural! #BUGHEADENDGAME https://t.co/lF5VPSHmBK,False,en,0,0,2021-03-03 00:38:15,1366910759817662467,"{'neg': 0.0, 'neu': 0.553, 'pos': 0.447, 'compound': 0.8892}","['bughead', 'good', 'man', 'amp', 'chemistry', 'excellent', 'natural', 'bugheadendgame']", riverdale  bughead are so good man !   &amp;   chemistry is excellent and natural! bugheadendgame ,0.14,0.00,0.86
"RT @BudhooJohn: @MTVAwards It's their day but anything with bughead, varchie and choni.#Riverdale https://t.co/bZt3AjOcye",False,en,0,1,2021-03-03 00:34:26,1366909798697074691,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['day', 'anything', 'bughead', 'varchie', 'choni', 'riverdale']","rt :  it's their day but anything with bughead, varchie and choni.riverdale ",0.00,0.00,1.00
@BamSmackPow OMG happy bughead day for you too bestie,False,en,1,0,2021-03-03 00:33:58,1366909682607153153,"{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.5719}","['omg', 'happy', 'bughead', 'day', 'bestie']", omg happy bughead day for you too bestie,0.12,0.00,0.88
RT @ColeSprouseidol: 4 years ago wao 😍❤️ #Bughead #Riverdale https://t.co/y6bvRMtdKN,False,en,0,1,2021-03-03 00:33:57,1366909676303114244,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['4', 'years', 'ago', 'wao', 'bughead', 'riverdale']",rt : 4 years ago wao :smiling face with heart-eyes::red heart: bughead riverdale ,0.00,0.00,1.00
RT @httpreinhart: Happy #Bughead day https://t.co/aX55xYjZ8P,False,en,0,3,2021-03-03 00:33:52,1366909653817393155,"{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.5719}","['happy', 'bughead', 'day']",rt : happy bughead day ,0.25,0.00,0.75
"RT @selinascavone: in my bughead depression right now😄
#Riverdale #bughead https://t.co/2gluuL1TwL",False,en,0,0,2021-03-03 00:32:58,1366909427392126985,"{'neg': 0.27, 'neu': 0.73, 'pos': 0.0, 'compound': -0.5719}","['bughead', 'depression', 'right', 'riverdale', 'bughead']","rt : in my bughead depression right now:grinning face with smiling eyes:
riverdale bughead ",0.00,0.00,1.00
"if bughead not endgame, why roberto? https://t.co/ctlK8Qv9Zh",False,en,8,0,2021-03-03 00:32:57,1366909423872958464,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['bughead', 'endgame', 'roberto']","if bughead not endgame, why roberto? ",0.17,0.00,0.83
RT @Southside_Jug: “I’m here for you. Always.” #Riverdale #bughead https://t.co/v0maq7rdGN,False,en,0,2,2021-03-03 00:31:43,1366909113163264006,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['always', 'riverdale', 'bughead']",rt  jug: “i’m here for you. always.” riverdale bughead ,0.00,0.00,1.00
"RT @reinhartshines: 4 years ago today #bughead was born
#riverdale https://t.co/72hP2uizIX",False,en,0,2,2021-03-03 00:30:47,1366908880878469123,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['4', 'years', 'ago', 'today', 'bughead', 'born', 'riverdale']","rt : 4 years ago today bughead was born
riverdale ",0.00,0.00,1.00
RT @Southside_Jug: Remembering there is no new episode tomorrow night #Riverdale #bughead https://t.co/cf0sfFrph1,False,en,0,2,2021-03-03 00:30:37,1366908837589057544,"{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.296}","['remembering', 'new', 'episode', 'tomorrow', 'night', 'riverdale', 'bughead']",rt  jug: remembering there is no new episode tomorrow night riverdale bughead ,0.00,0.00,1.00
RT @frutifantastiko: Not again #bughead #Riverdale https://t.co/brT6uKo9OY,False,en,0,3,2021-03-03 00:30:24,1366908782501130242,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['bughead', 'riverdale']",rt : not again bughead riverdale ,0.00,0.00,1.00
"RT @Barchies3: #Barchie #Riverdale 

I don't understand how Bughead stans' brains work https://t.co/TM0dRn6uAu",False,en,0,1,2021-03-03 00:30:15,1366908745599574028,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['barchie', 'riverdale', 'understand', 'bughead', 'stans', 'brains', 'work']","rt : barchie riverdale 

i don't understand how bughead stans' brains work ",0.00,0.00,1.00
"RT @JugBetts: When the sequel wins an Emmy &gt;&gt;&gt;&gt;&gt;
#Riverdale #Bughead",True,en,0,0,2021-03-03 00:29:38,1366908590951444482,"{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.5719}","['sequel', 'wins', 'emmy', 'gt', 'gt', 'gt', 'gt', 'gt', 'riverdale', 'bughead']","rt : when the sequel wins an emmy &gt;&gt;&gt;&gt;&gt;
riverdale bughead",0.00,0.00,1.00
RT @claire39458517: Now has she ever looked at Archie that way? I don’t think so💁🏽‍♀️. After 7 years and still her heart knows that she bel…,False,en,0,2,2021-03-03 00:29:14,1366908489977708544,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['ever', 'looked', 'archie', 'way', 'think', '7', 'years', 'still', 'heart', 'knows', 'bel']",rt : now has she ever looked at archie that way? i don’t think so:woman tipping hand medium skin tone:. after 7 years and still her heart knows that she bel…,0.00,0.00,1.00
"RT @Southside_Jug: Betty, return to Jughead. You know your heart belongs to him only. #Riverdale #bughead https://t.co/gdmoT0OtFW",False,en,0,2,2021-03-03 00:28:17,1366908250776612870,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['betty', 'return', 'jughead', 'know', 'heart', 'belongs', 'riverdale', 'bughead']","rt  jug: betty, return to jughead. you know your heart belongs to him only. riverdale bughead ",0.00,0.00,1.00
"RT @reinhartsdreams: it was only 4 years ago today that jughead climbed into betty’s window, called her juliet, and kissed her for the firs…",False,en,0,11,2021-03-03 00:27:22,1366908018403778563,"{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.3818}","['4', 'years', 'ago', 'today', 'jughead', 'climbed', 'betty', 'window', 'called', 'juliet', 'kissed', 'firs']","rt : it was only 4 years ago today that jughead climbed into betty’s window, called her juliet, and kissed her for the firs…",0.00,0.00,1.00
RT @Itsjubiz: Now has she ever looked at Archie that way? I don’t think so. After 7 years and still her heart knows that she belongs to him…,False,en,0,2,2021-03-03 00:26:48,1366907877038948352,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['ever', 'looked', 'archie', 'way', 'think', '7', 'years', 'still', 'heart', 'knows', 'belongs']",rt : now has she ever looked at archie that way? i don’t think so. after 7 years and still her heart knows that she belongs to him…,0.00,0.00,1.00
@colesxhart Thanks so much bestie Happy Bughead Day! 🥰,False,en,1,0,2021-03-03 00:26:36,1366907826623442946,"{'neg': 0.0, 'neu': 0.456, 'pos': 0.544, 'compound': 0.7995}","['thanks', 'much', 'bestie', 'happy', 'bughead', 'day']", thanks so much bestie happy bughead day! :smiling face with hearts:,0.11,0.00,0.89
"RT @SoldiersTom: Lili and Cole were very close to each other, just like Bob and Eliza. I don't know how the Black Cat got between you... Bu…",False,en,0,0,2021-03-03 00:26:13,1366907729944707073,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.3612}","['lili', 'cole', 'close', 'like', 'bob', 'eliza', 'know', 'black', 'cat', 'got', 'bu']","rt : lili and cole were very close to each other, just like bob and eliza. i don't know how the black cat got between you... bu…",0.10,0.10,0.80
if i see one bughead shipper saying that barchie has no chemistry and that it’s a whole downgrade of bughead i will prosecute your ass 😗,False,en,0,0,2021-03-03 00:25:38,1366907583588667393,"{'neg': 0.307, 'neu': 0.693, 'pos': 0.0, 'compound': -0.8126}","['see', 'one', 'bughead', 'shipper', 'saying', 'barchie', 'chemistry', 'whole', 'downgrade', 'bughead', 'prosecute', 'ass']",if i see one bughead shipper saying that barchie has no chemistry and that it’s a whole downgrade of bughead i will prosecute your ass :kissing face:,0.00,0.00,1.00
RT @Kiimora2: I was just a bughead LAST WEEK but I don’t know the more I interact with barchie shippers and the more lili posts about barch…,False,en,0,2,2021-03-03 00:25:25,1366907527980584960,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['bughead', 'last', 'week', 'know', 'interact', 'barchie', 'shippers', 'lili', 'posts', 'barch']",rt : i was just a bughead last week but i don’t know the more i interact with barchie shippers and the more lili posts about barch…,0.00,0.00,1.00
"RT @willowiscold: I'm 26, I shouldn't care that barchie are together now, but it does, it bothers me so much! Bring #bughead back! #riverda…",False,en,0,0,2021-03-03 00:25:22,1366907516626604032,"{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.5571}","['26', 'care', 'barchie', 'together', 'bothers', 'much', 'bring', 'bughead', 'back', 'riverda']","rt : i'm 26, i shouldn't care that barchie are together now, but it does, it bothers me so much! bring bughead back! riverda…",0.00,0.00,1.00
RT @RiverdaleDark: Happy #Bughead Day 🥰 https://t.co/fZbi35WHBM,False,en,0,177,2021-03-03 00:25:09,1366907460863356930,"{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.5719}","['happy', 'bughead', 'day']",rt : happy bughead day :smiling face with hearts: ,0.17,0.00,0.83
RT @Fatimiuz2: Today friends my favorite couple gave their first kiss and I have been happy (until chapter 4.17 of there until now they onl…,False,en,0,1,2021-03-03 00:24:43,1366907351442337793,"{'neg': 0.0, 'neu': 0.613, 'pos': 0.387, 'compound': 0.9118}","['today', 'friends', 'favorite', 'couple', 'gave', 'first', 'kiss', 'happy', 'chapter', '4', '17', 'onl']",rt : today friends my favorite couple gave their first kiss and i have been happy (until chapter 4.17 of there until now they onl…,0.08,0.00,0.92
"RT @edegelene: Bughead parin, even though in that scene was Barchie🥺#Riverdale #Chapter82 https://t.co/fvrwjkGnjd",False,en,0,1,2021-03-03 00:24:36,1366907325634793480,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['bughead', 'parin', 'even', 'though', 'scene', 'barchie', 'riverdale', 'chapter82']","rt : bughead parin, even though in that scene was barchie:pleading face:riverdale chapter82 ",0.00,0.00,1.00
RT @bugheadconfess_: Happy Bughead’s day https://t.co/Za4xEBdIOm,False,en,0,21,2021-03-03 00:23:57,1366907160173678592,"{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.5719}","['happy', 'bughead', 'day']",rt  : happy bughead’s day ,0.25,0.00,0.75
"RT @bugheadspov: 4 years ago today, jughead climbed through betty’s window, called her juliet, calmed her nerves, AND kissed her for the fi…",False,en,0,41,2021-03-03 00:22:23,1366906767603597312,"{'neg': 0.055, 'neu': 0.742, 'pos': 0.203, 'compound': 0.5859}","['4', 'years', 'ago', 'today', 'jughead', 'climbed', 'betty', 'window', 'called', 'juliet', 'calmed', 'nerves', 'kissed', 'fi']","rt : 4 years ago today, jughead climbed through betty’s window, called her juliet, calmed her nerves, and kissed her for the fi…",0.00,0.00,1.00
"RT @catacaceress: happy anniversary bbys 
#riverdale #bughead https://t.co/PJyhVel223",False,en,0,2,2021-03-03 00:20:43,1366906344478027778,"{'neg': 0.0, 'neu': 0.654, 'pos': 0.346, 'compound': 0.5719}","['happy', 'anniversary', 'bbys', 'riverdale', 'bughead']","rt : happy anniversary bbys 
riverdale bughead ",0.17,0.00,0.83
@your_crazy_4you @chon1_bughead @lemon_buzz @DailyMailCeleb The thanksgiving pic,False,en,0,0,2021-03-03 00:19:52,1366906133386989575,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['thanksgiving', 'pic']", crazy 4you  bughead  buzz  the thanksgiving pic,0.00,0.00,1.00
bughead day the best day,False,en,0,0,2021-03-03 00:18:37,1366905816914264064,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.6369}","['bughead', 'day', 'best', 'day']",bughead day the best day,0.00,0.00,1.00
Bughead 2.0 https://t.co/zw9DLte3A8,False,en,2,0,2021-03-03 00:18:20,1366905748412919812,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['bughead', '2', '0']",bughead 2.0 ,0.00,0.00,1.00
@chon1_bughead @lemon_buzz @pursuit23 @DailyMailCeleb I'm sorry but I don't see lili anywhere,False,en,0,0,2021-03-03 00:17:00,1366905411312504834,"{'neg': 0.103, 'neu': 0.897, 'pos': 0.0, 'compound': -0.0387}","['sorry', 'see', 'lili', 'anywhere']", bughead  buzz   i'm sorry but i don't see lili anywhere,0.00,0.00,1.00
RT @naleybugheads: happy bughead day! #Riverdale https://t.co/dJRlY23r8S,False,en,0,0,2021-03-03 00:15:38,1366905068851769349,"{'neg': 0.0, 'neu': 0.6, 'pos': 0.4, 'compound': 0.6114}","['happy', 'bughead', 'day', 'riverdale']",rt : happy bughead day! riverdale ,0.20,0.00,0.80
@MTVAwards Bughead ❤️ https://t.co/e79TZGLKC3,False,en,0,0,2021-03-03 00:13:15,1366904466390179840,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",['bughead'], bughead :red heart: ,0.00,0.00,1.00
"RT @rayygraphy: Hi Bugheads,

Jughead kissed Betty for the first time four years ago today.

Happy #Bughead day, everyone!❤️

#Riverdale",True,en,0,21,2021-03-03 00:12:55,1366904382684545032,"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.7644}","['hi', 'bugheads', 'jughead', 'kissed', 'betty', 'first', 'time', 'four', 'years', 'ago', 'today', 'happy', 'bughead', 'day', 'everyone', 'riverdale']","rt : hi bugheads,

jughead kissed betty for the first time four years ago today.

happy bughead day, everyone!:red heart:

riverdale",0.06,0.00,0.94
sometimes I forget how weird  bughead is as a ship name... I’m not dissing the actual ship (!!!) it’s just the name makes me laugh. bug...head. 🐜,False,en,0,0,2021-03-03 00:12:26,1366904262328868868,"{'neg': 0.124, 'neu': 0.722, 'pos': 0.154, 'compound': 0.4359}","['sometimes', 'forget', 'weird', 'bughead', 'ship', 'name', 'dissing', 'actual', 'ship', 'name', 'makes', 'laugh', 'bug', 'head']",sometimes i forget how weird  bughead is as a ship name... i’m not dissing the actual ship (!!!) it’s just the name makes me laugh. bug...head. :ant:,0.00,0.08,0.92
@spreindestch bughead,False,en,0,0,2021-03-03 00:11:01,1366903903745409024,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",['bughead'], bughead,0.00,0.00,1.00
"RT @barchiedestiny: Reasons why Choni and Barchie are better than Varchie and Bughead.

Bughead= Cute, Understanding
Varchie= Hot , Passion…",False,en,0,6,2021-03-03 00:09:53,1366903619304513538,"{'neg': 0.0, 'neu': 0.742, 'pos': 0.258, 'compound': 0.7096}","['reasons', 'choni', 'barchie', 'better', 'varchie', 'bughead', 'bughead', 'cute', 'understanding', 'varchie', 'hot', 'passion']","rt : reasons why choni and barchie are better than varchie and bughead.

bughead= cute, understanding
varchie= hot , passion…",0.05,0.00,0.95
@spreindestch bughead 🤲🏻,False,en,0,0,2021-03-03 00:09:42,1366903575335612417,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",['bughead'], bughead :palms up together light skin tone:,0.00,0.00,1.00
"RT @reinhartsdivine: we needed that to be continue moment, but oh well, happy 4 years of their first kiss 🥺👌🏻 #bughead #riverdale https://t…",False,en,0,17,2021-03-03 00:08:12,1366903194769625098,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.9081}","['needed', 'continue', 'moment', 'oh', 'well', 'happy', '4', 'years', 'first', 'kiss', 'bughead', 'riverdale']","rt : we needed that to be continue moment, but oh well, happy 4 years of their first kiss :pleading face::OK hand light skin tone: bughead riverdale ",0.04,0.00,0.96
RT @AlpacalypseA: some Romeo and Juliet for #Bughead  ’s anniversary 💙💛 https://t.co/ZaAk7nscgM,False,en,0,29,2021-03-03 00:05:05,1366902412448043011,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['romeo', 'juliet', 'bughead', 'anniversary']",rt : some romeo and juliet for bughead  ’s anniversary :blue heart::yellow heart: ,0.00,0.00,1.00
"RT @classyreinhart: 4 years ago today, jughead jones climbed up a ladder to betty cooper’s room and kissed her for the first time❤️ happy a…",False,en,0,45,2021-03-03 00:03:05,1366901909236436993,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.743}","['4', 'years', 'ago', 'today', 'jughead', 'jones', 'climbed', 'ladder', 'betty', 'cooper', 'room', 'kissed', 'first', 'time', 'happy']","rt : 4 years ago today, jughead jones climbed up a ladder to betty cooper’s room and kissed her for the first time:red heart: happy a…",0.04,0.00,0.96
"RT @iywmlhart: happy #bughead day anniversary, everyone!

#riverdale https://t.co/PJ07dmISIY",False,en,0,45,2021-03-03 00:02:41,1366901806782103563,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.6114}","['happy', 'bughead', 'day', 'anniversary', 'everyone', 'riverdale']","rt : happy bughead day anniversary, everyone!

riverdale ",0.14,0.00,0.86
RT @itsbarchiebxtch: *especially on bughead day* girl WHAT 😭 it’s not a national holiday 😭 https://t.co/vdOex8Q5wU,False,en,0,1,2021-03-03 00:00:40,1366901301414666244,"{'neg': 0.158, 'neu': 0.842, 'pos': 0.0, 'compound': -0.3089}","['especially', 'bughead', 'day', 'girl', 'national', 'holiday']",rt : *especially on bughead day* girl what :loudly crying face: it’s not a national holiday :loudly crying face: ,0.00,0.00,1.00
@blossomsvoid HOW DARE THEY RUIN OUr FAV SHIP (bughead) BY ACCUSING THE STRAIGHTEST MAN EVER OF BEING FRUITY 😔😑,False,en,1,0,2021-03-03 00:00:39,1366901298344427521,"{'neg': 0.261, 'neu': 0.599, 'pos': 0.14, 'compound': -0.4995}","['dare', 'ruin', 'fav', 'ship', 'bughead', 'accusing', 'straightest', 'man', 'ever', 'fruity']", how dare they ruin our fav ship (bughead) by accusing the straightest man ever of being fruity :pensive face::expressionless face:,0.06,0.00,0.94
@spreindestch bughead🏡💘,False,en,0,0,2021-03-03 00:00:18,1366901208691200010,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",['bughead'], bughead:house with garden::heart with arrow:,0.00,0.00,1.00
RT @reinhartsdivine: miss you.... :( #bughead https://t.co/0aHijaoNjU,False,en,0,14,2021-03-03 00:00:16,1366901199463731201,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.5423}","['miss', 'bughead']",rt : miss you.... :( bughead ,0.00,0.25,0.75
*especially on bughead day* girl WHAT 😭 it’s not a national holiday 😭 https://t.co/vdOex8Q5wU,False,en,10,1,2021-03-03 00:00:02,1366901142794498050,"{'neg': 0.184, 'neu': 0.816, 'pos': 0.0, 'compound': -0.3089}","['especially', 'bughead', 'day', 'girl', 'national', 'holiday']",*especially on bughead day* girl what :loudly crying face: it’s not a national holiday :loudly crying face: ,0.00,0.00,1.00
#Bughead is an endgame for me no matter what now :) https://t.co/hzcCy7YYQp,False,en,1,0,2021-03-02 23:58:03,1366900643206746115,"{'neg': 0.144, 'neu': 0.588, 'pos': 0.268, 'compound': 0.2263}","['bughead', 'endgame', 'matter']",bughead is an endgame for me no matter what now :) ,0.10,0.00,0.90
"@barchanted They are lying as with 99% of their arguments of why Bughead is endgame

The worst part is that all of their “proof” comes from pages like Bam Smack Pow",False,en,1,0,2021-03-02 23:49:13,1366898419822977025,"{'neg': 0.257, 'neu': 0.68, 'pos': 0.063, 'compound': -0.8271}","['lying', '99', 'arguments', 'bughead', 'endgame', 'worst', 'part', 'proof', 'comes', 'pages', 'like', 'bam', 'smack', 'pow']"," they are lying as with 99% of their arguments of why bughead is endgame

the worst part is that all of their “proof” comes from pages like bam smack pow",0.07,0.00,0.93
"on my bughead breakdown again 
 https://t.co/bAAsX8gnoJ",False,en,0,0,2021-03-02 23:48:07,1366898141086244867,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['bughead', 'breakdown']","on my bughead breakdown again 
 ",0.00,0.00,1.00
RT @lilireinhart: We had dialogue that was cut from this little montage-- Jughead made Betty laugh before finding the car-- thus this littl…,True,en,0,1242,2021-03-02 23:46:54,1366897835254317059,"{'neg': 0.079, 'neu': 0.787, 'pos': 0.135, 'compound': 0.3612}","['dialogue', 'cut', 'little', 'montage', 'jughead', 'made', 'betty', 'laugh', 'finding', 'car', 'thus', 'littl']",rt : we had dialogue that was cut from this little montage-- jughead made betty laugh before finding the car-- thus this littl…,0.00,0.00,1.00
RT @juqheadjonez: eyes dilated 🥲 https://t.co/TRsHi8s1qc,False,en,0,10,2021-03-02 23:45:45,1366897547059499010,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['eyes', 'dilated']",rt : eyes dilated :smiling face with tear: ,0.00,0.00,1.00
RT @ForsythesCooper: Or... You could kiss your girlfriend https://t.co/MzrVcA9YGT,False,en,0,16,2021-03-02 23:45:39,1366897520807276544,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.4215}","['could', 'kiss', 'girlfriend']",rt : or... you could kiss your girlfriend ,0.00,0.14,0.86
RT @fcrsythe: their love language being physical touch is my biggest win https://t.co/CjbcsPFVqk,False,en,0,27,2021-03-02 23:44:11,1366897151381364738,"{'neg': 0.0, 'neu': 0.579, 'pos': 0.421, 'compound': 0.8402}","['love', 'language', 'physical', 'touch', 'biggest', 'win']",rt : their love language being physical touch is my biggest win ,0.09,0.00,0.91
@paulineslove bughead shipper,False,en,0,0,2021-03-02 23:43:51,1366897066719535104,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['bughead', 'shipper']", bughead shipper,0.00,0.00,1.00
RT @chonibIossom: can they release the 508 stills today i need content,False,en,0,20,2021-03-02 23:43:35,1366896999446974467,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['release', '508', 'stills', 'today', 'need', 'content']",rt : can they release the 508 stills today i need content,0.00,0.00,1.00
RT @ForsythesCooper: They become each others safe place so easily https://t.co/Cm2V8Hdi7g,False,en,0,22,2021-03-02 23:43:32,1366896988323672064,"{'neg': 0.0, 'neu': 0.617, 'pos': 0.383, 'compound': 0.6801}","['become', 'others', 'safe', 'place', 'easily']",rt : they become each others safe place so easily ,0.00,0.00,1.00
RT @naddumbass: my bughead heart couldn't take it anymore 💔,True,en,0,2,2021-03-02 23:42:45,1366896790046269442,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['bughead', 'heart', 'take', 'anymore']",rt : my bughead heart couldn't take it anymore :broken heart:,0.00,0.00,1.00
RT @bugheadfilms: happy anniversary to jughead finally getting the girl🥺 #Riverdale  https://t.co/ZUZ1LLUTfo,False,en,0,27,2021-03-02 23:42:40,1366896772677730306,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.5719}","['happy', 'anniversary', 'jughead', 'finally', 'getting', 'girl', 'riverdale']",rt : happy anniversary to jughead finally getting the girl:pleading face: riverdale  ,0.11,0.00,0.89
